hmo_licence_reference,pcd,lat,long
HMOM/20/62741,NW11 9SR,51.5751,-0.2068
HMOM/20/62551,NW11 0HA,51.5804,-0.202
HMOM/20/62746,NW11 0LR,51.5801,-0.2016
HMOM/20/62994,NW2 1JP,51.5765,-0.216
HMOM/20/63045,N3 1PD,51.6077,-0.1913
HMOM/20/63417,NW2 3LL,51.5559,-0.2124
HMOAA/19/61597,N3 2HD,51.6013,-0.1907
HMOAA/19/61597,N3 2HD,51.6013,-0.1907
HMOM/19/61705,NW11 7RJ,51.5715,-0.1921
HMOAA/20/63070,NW11 9TT,51.5757,-0.2147
HMOM/20/63131,NW4 3RX,51.5796,-0.2318
HMOM/19/61221,NW9 6AT,51.5802,-0.2402
HMOME/19/61383,NW4 2PL,51.5829,-0.2189
HMOAA/19/61569,N11 3AE,51.618,-0.1479
HMOME/19/61652,NW2 1RS,51.5615,-0.2083
HMOM/19/61919,NW11 9ES,51.5779,-0.2076
HMOME/19/62092,NW2 1JG,51.5692,-0.2109
HMOM/20/62446,HA8 0DW,51.5982,-0.262
HMOM/20/62908,N3 1HJ,51.6018,-0.1962
HMOME/20/63143,NW2 2LD,51.5667,-0.2024
HMOM/20/63159,NW7 2QH,51.6031,-0.2368
HMOM/19/61419,EN4 8HU,51.645,-0.1513
HMOM/19/62247,NW4 4UA,51.5913,-0.2342
HMOM/20/63414,N12 0PT,51.6095,-0.17
HMOME/20/62586,NW4 1EU,51.5946,-0.2144
HMOME/20/62669,NW2 1BX,51.5656,-0.2188
HMOM/20/63255,NW11 9HJ,51.5775,-0.2126
HMOME/19/61553,NW2 2RN,51.5568,-0.209
HMOM/19/62267,NW4 3XE,51.5822,-0.2316
HMOME/20/63396,NW9 6AE,51.5789,-0.2408
HMOM/19/61848,NW11 9NG,51.5796,-0.2053
HMOME/19/62016,NW4 3XT,51.5832,-0.2294
HMOME/20/62883,NW9 5GE,51.5955,-0.243
HMOM/20/62993,EN4 8RW,51.6498,-0.1726
HMOM/20/63075,N3 2DB,51.6029,-0.1887
HMOM/19/61815,N3 2NP,51.6034,-0.179
HMOME/20/62686,NW4 4DD,51.589,-0.2226
HMOAA/20/62553,N2 0XD,51.589,-0.1683
HMOAA/20/62293,NW11 8DL,51.5642,-0.197
HMOME/20/63041,N11 3BX,51.6126,-0.1555
HMOM/19/61473,NW4 3XR,51.5827,-0.2293
HMOME/19/61763,NW2 2NG,51.5651,-0.2052
HMOM/20/62387,NW4 2PD,51.5826,-0.2165
HMOM/20/62526,NW11 0LL,51.5807,-0.2004
HMOM/20/62940,NW11 9AR,51.5781,-0.2046
HMOAA/19/61949,N10 1AP,51.605,-0.1495
HMOME/19/62037,NW11 9TT,51.5757,-0.2147
HMOME/19/61525,NW4 4SD,51.587,-0.2371
HMOAA/19/61620,NW4 3TS,51.5769,-0.2284
HMOAA/19/61822,N2 8EE,51.5948,-0.1739
HMOAA/19/61840,NW4 3EU,51.5794,-0.2336
HMOAA/19/62225,NW9 5JX,51.5996,-0.2548
HMOM/19/61393,NW7 3JR,51.621,-0.2547
HMOME/19/61426,NW4 3PS,51.577,-0.2339
HMOM/20/62481,NW2 1JP,51.5765,-0.216
HMOM/20/63388,NW2 1DU,51.5665,-0.2147
HMOME/20/62299,NW2 1EA,51.5674,-0.2118
HMOM/20/62304,NW7 2JP,51.6116,-0.2465
HMOM/20/62304,NW7 2JP,51.6116,-0.2465
HMOM/20/62466,NW4 4RL,51.5926,-0.2255
HMOM/20/62485,N11 3DY,51.6146,-0.1504
HMOME/20/62524,NW7 2AG,51.6098,-0.2492
HMOM/20/62528,N3 1EG,51.6045,-0.1964
HMOAA/19/61403,NW4 2HX,51.5851,-0.2183
HMOM/19/61773,N12 8HE,51.6125,-0.1837
HMOME/19/62288,HA8 7AU,51.6149,-0.2754
HMOM/19/61910,NW2 1JP,51.5765,-0.216
HMOAA/20/62539,NW4 4AX,51.5874,-0.2299
HMOM/20/62564,NW4 2TN,51.5844,-0.2208
HMOM/20/62579,NW4 3SA,51.5782,-0.2321
HMOAA/19/61772,NW4 3AN,51.5841,-0.228
HMOAA/20/62362,NW4 4RT,51.5866,-0.2336
HMOM/19/62237,NW11 9SY,51.5752,-0.2108
HMOM/20/62389,N12 0PT,51.6095,-0.17
HMOM/20/62425,EN4 8TF,51.643,-0.165
HMOAA/20/62471,NW4 3UH,51.5749,-0.2303
HMOM/19/62175,NW11 9SL,51.5748,-0.2059
HMOM/19/62194,NW11 9LD,51.5859,-0.2102
HMOME/20/62646,NW2 2NR,51.5624,-0.2037
HMOM/20/62649,NW2 1HR,51.5607,-0.2075
HMOME/20/62671,NW2 1DA,51.5682,-0.2212
HMOM/20/62706,N20 9HJ,51.6325,-0.1752
HMOM/20/62530,N3 1ER,51.6076,-0.1977
HMOM/20/62533,NW4 3PS,51.577,-0.2339
HMOM/19/61368,NW11 9DG,51.5768,-0.2083
HMOM/20/63059,NW4 1DL,51.5894,-0.2198
HMOM/20/63201,NW11 9JX,51.587,-0.2077
HMOME/19/61422,NW4 2TE,51.583,-0.2254
HMOM/19/62236,NW11 8AU,51.5761,-0.2013
HMOM/20/62841,N12 9PT,51.6128,-0.1756
HMOM/20/63084,NW11 0JN,51.5804,-0.2061
HMOAA/19/61309,NW7 1LB,51.6055,-0.2076
HMOME/19/61346,NW9 6AB,51.5799,-0.2412
HMOM/19/61654,NW11 7NN,51.5759,-0.1962
HMOM/19/62009,NW11 8LX,51.5701,-0.1955
HMOM/20/63042,NW7 4BY,51.6165,-0.2368
HMOM/20/63194,N12 9TB,51.6167,-0.174
HMOAA/19/62274,NW11 8DL,51.5642,-0.197
HMOAA/19/62292,NW4 4EP,51.5884,-0.2232
HMOME/19/61241,NW11 8JP,51.5737,-0.1985
HMOAA/19/62115,NW11 0PB,51.5766,-0.1979
HMOM/20/63142,EN4 9PE,51.6503,-0.1677
HMOM/20/62527,N3 1PT,51.6111,-0.1904
HMOM/20/62529,N3 1EG,51.6045,-0.1964
HMOM/20/62926,NW2 1RE,51.5603,-0.2116
HMOM/20/62997,HA8 8HJ,51.6215,-0.2814
HMOM/20/63073,NW2 3EE,51.5557,-0.2136
HMOAA/19/61365,NW4 4DJ,51.5886,-0.2218
HMOME/19/61396,NW7 3JW,51.6206,-0.2544
HMOM/20/62813,N12 0BX,51.6118,-0.1771
HMOAA/19/61571,NW9 5JU,51.598,-0.2524
HMOM/19/61747,N12 9EN,51.6125,-0.1752
HMOM/19/61723,NW11 8EL,51.5722,-0.1983
HMOM/20/63150,NW2 2LD,51.5667,-0.2024
HMOM/19/62063,N12 9HR,51.6184,-0.1719
HMOM/19/62196,N12 0HJ,51.6076,-0.1816
HMOAA/19/62273,NW11 0DT,51.5854,-0.2032
HMOM/20/62395,NW2 1HD,51.5576,-0.2135
HMOM/20/63476,NW4 4LD,51.5891,-0.2259
HMOM/20/63488,NW11 9BP,51.5747,-0.2044
HMOM/19/61533,N3 3RY,51.596,-0.1999
HMOM/20/62985,NW11 0RY,51.5769,-0.1994
HMOME/19/61742,NW4 2JY,51.5883,-0.2092
HMOM/20/63250,N12 0LT,51.6102,-0.1584
HMOME/19/61334,NW2 3LL,51.5559,-0.2124
HMOME/19/61564,N12 8DT,51.6124,-0.1798
HMOM/19/61607,NW4 3NB,51.5789,-0.2245
HMOM/20/63330,NW4 2PG,51.5822,-0.2182
HMOAA/19/61224,N11 3DH,51.6114,-0.1565
HMOM/19/61609,HA8 9AH,51.6097,-0.272
HMOAA/19/61977,NW11 0AJ,51.5879,-0.2001
HMOM/19/62044,NW4 4SH,51.5893,-0.2366
HMOME/20/63329,N3 2SG,51.5986,-0.1881
HMOME/20/63472,NW4 2RN,51.589,-0.2177
HMOAA/19/61983,NW11 0AJ,51.5879,-0.2001
HMOM/20/62744,NW11 9AN,51.5775,-0.204
HMOME/20/63433,NW11 8EE,51.572,-0.1972
HMOM/19/61220,NW11 7TH,51.5812,-0.1984
HMOM/19/62284,NW7 3LH,51.6147,-0.2468
HMOME/20/62992,N3 2LN,51.6001,-0.1949
HMOM/20/63290,NW4 4LX,51.5939,-0.2316
HMOME/20/63511,NW4 4SL,51.5918,-0.2354
HMOAA/20/63513,N3 2QR,51.5971,-0.1859
HMOAA/19/61370,NW4 4DJ,51.5886,-0.2218
HMOM/20/63212,NW11 6NJ,51.5825,-0.1812
HMOME/20/63217,NW11 9AB,51.5765,-0.2026
HMOAA/19/61570,HA8 0DZ,51.6032,-0.2564
HMOAA/19/62162,N3 2HH,51.5995,-0.1881
HMOAA/20/62974,NW11 9PP,51.5788,-0.2086
HMOM/20/63056,NW2 3AE,51.5569,-0.213
HMOM/20/63358,NW4 4SJ,51.5894,-0.236
HMOME/20/63395,N20 0LH,51.6284,-0.1743
HMOAA/19/61411,NW11 8QG,51.5732,-0.201
HMOAA/19/61997,NW2 2LX,51.5628,-0.2049
HMOM/20/62782,NW11 9SY,51.5752,-0.2108
HMOME/20/63411,EN5 1BP,51.6412,-0.1716
HMOM/20/62762,HA8 7AB,51.611,-0.2784
HMOM/20/63193,N12 9TB,51.6167,-0.174
HMOME/19/61658,NW4 3UY,51.5824,-0.2291
HMOM/19/61859,N3 1EU,51.608,-0.1979
HMOAA/21/63691,N12 0NS,51.6116,-0.1737
HMOAA/21/63724,N2 8AG,51.591,-0.1653
HMOM/21/63824,NW11 9BP,51.5747,-0.2044
HMOME/21/64780,N3 2AS,51.6029,-0.1774
HMOM/21/64277,NW9 7EJ,51.5779,-0.2391
HMOME/21/65006,NW2 1HJ,51.5583,-0.2118
HMOM/21/65041,NW4 2AD,51.5863,-0.2191
HMOM/21/65075,NW4 4TG,51.5957,-0.2342
HMOAA/20/63582,NW11 8EE,51.572,-0.1972
HMOME/21/64460,N3 3BD,51.5911,-0.1921
